class,tweet
1,wow i was like or fighting people in high school then bitch unfollow me fuck nigga
1,bitch y you are not come to school
1,sup my nigga cracker home boy what ya know that blah forget it hey to ya
2,have not you ever heard the story of the birds and the bees
1,bitch w dreads alert
1,be sure to follow it up with a fabulous bitch face
1,girls that want to hold on to they hoes and act like they cannot show off they boyfriends
2,maybe baylee ann tater pud nurse fester charlie chainsaws mama rot should be their own team next time in punishermax d
2,thank you based pee slit
1,ya pussy let us go wheelin
1,niggah this shit serious are not no one laughing
1,he is the fuck her right in the pussy guy
2,i never did those games but i was obsessed with angry birds which is why it took me so long to do ccs i was scared lol
2,i do not know it is trash though
2,far as i can tell coon tracks on the cab door window tractor was parked by some trees away from home
1,fuck no she do not let nobody hit that pussy either i know it is firm
2,given the rickety slant of that roof i would say more like pizza shanty
1,yess bitch cuts colors and curls ha self
2,how could you say such a thing woman you have two functioning chest tables to hold your peanut butter and crackers
1,my knee will not let me wander around much so i just make a few trips and look at the fat girls redneck porn wal mart
1,you to bitch
1,not over no twitter shit plus you are a female you letting a dumb sloppy body ignorant bitch speak for k people
1,and they retarded as fuck in general with their hope they fall off with aw but the csgo scene is growing so i do not know
1,she going full retard right now smh
1,there was also no need for her to be a cunt and act like she is something special it was not unprovoked
1,hoe
2,some weird local ghetto school haha
1,do not be a pussy also there is beer and free pizza here i swear
1,because it is fucking retarded
1,so you are a fag
2,pussy it is science donaire via rachel spelling error
1,forgot someone niglet
0,fuck you faggot
1,you fat irish fucking cunt i honestly hope you choke to death in a pool of your own jameson induced vomit
1,we do not love these hoes
1,i stick up for my fam do not disrespect the pouch my nigguh and awe ily
2,he see the jig
2,and take the trash out and separate the recyclables
0,yes you do retard
2,humanity really needs to get past this whole slow down and stare at the scene of an accident ape mentality we have
1,so bad bitches intimidate you in other words
1,my phone s doin da pussy right now lol
1,lmao mark is the only guy left there he is about to get some pussy
1,yes so you could leave fag
1,hahahaha aw nut we should try and capture that cunt
0,how many fuckin fags did a even get should not be allowed into my wallet whilst under the influence haha
1,he wants pussy nd a dini mean a cat
1,hay pussy cat
1,pussy you cannot fight
2,do not shake your head at me i just love to trash talk
1,more like emily is a little twat
1,she can just fuckin call the venue about it and they will cancel the lost tickets and reprint new ones what a dumb bitch
1,drug buddy pussy money bitches weed
0,a faggot that needs to grow up
1,grow a pair pussy
1,old rachet ass bitch
0,you did a good job doing that to me and not texting back faggot
1,i rap that and her part of problem because i am a bad bitch
1,well i am sure i am not fully retarded imustbestupid
1,true dat nig
0,you are reading you coon
0,most of these people are followers of followers of truth but they themselves are still niggers their outlook mind all
1,because you are a weak bitch listen to cruel hand because the singer fell on face last night
1,shit so joel went off and swore at the kid and the kid was a fucking snitch nigga pussy and ratted on him got him
0,thanks for ignoring my texts fag
1,that is a dragon you retard
1,when you realize you are trash
1,the extra shit i am seeing that hoe this weekend
1,i got a kenwood amp to but it is probably ghetto right
2,it is not ghetto you fool
1,you got a toolbox you hoe
2,you got to be like me n the twins just chug it all before everyone
1,you can be a bad bitch too dex its okay
1,david block that bitch
2,sounds like the hysteria over bird flu a few years back it had a lower mortality rate than the regular flu
1,every bitches claim
1,bitch what i do not give a fuck what you say but do not fuckin lie on me you hairy bitch
1,is out of his goddamn bird trying to say yoburger is better than guys
1,alright amateur grease monkey show me how its done wait that sounds racist
2,i hope my fuzzy head does not tickle too much
1,if you say one disparaging word about the charlie brown xmas special i will slash the tires on your car
2,was just wondering if yo espect to add mo colored tv stations befo i renew dis
1,ok i guess you are not colored so so do not know da channels
0,you gots da bet and da msnbc wit dat colored reverend who only listen to coloreds what else i missing
1,awwww do not be a pussy ill show you was good with that turbo lol
1,handles lol that shit only hp now your bitch is stick soo i know was good with them double shifting aha
1,bitch just meet me up here lol
1,could not make it nigga was at the e r my bad then my charger for my phone ripped so i can text i am on my ipod all ghetto
1,lmao yeah bitch that lil shit ripped
0,suck my dick tacos el negro better
1,yeah bitch did it taste good fucker t
1,fuck you bitch
1,snag that ho
2,it is kind of screwed up that they were my guinea pigs but i was only experimenting on taste instead i got more interesting results
1,slut buckets especially dan he a hoe
2,nope never taken neighbors actual stuff just wifi account info in their trash cans at am super easy
2,only one current yankee sells only one current bosox sells only one player on each l a team sells most teams have yeah
0,you do not have any kids what are you one of them queers
1,what i thought bitch
1,bitch are not fall down or nothing bet she can take more licks than you no
1,that hoe show up uninvited one day your ass will not come outside though
1,almost mad a nigguh catch some stacks at lunch close one
1,had da bitches rockin in da club wit my boy connor
1,that nigguh sucks
1,pussy
1,stop retweeting heather i am tired of seeing that bitch on my tl
1,both you bitches go to sleep
0,coons and monkeys like you disgust me you minstrel show negro crying about shit all the time you are a disgrace everywhere
1,lmao them bitches was the truth
2,then the kid he sold it to brought it back to him cooked in a brownie
0,you all hire colored folk only work half da day and throw da mail in da sewer if we are not done
1,money can get you good weed but not always the best of pussy sorry my friend guess
1,pussy
1,you are a bitch
1,they hv loads of cushion on the soles of them they would feel good on you are dick
1,love you too bitch
1,bitch i was out dea and your ass was sleep
2,ghetto black
2,jordan s are trash
2,everytime pro teams do gb tourneys that get schmanged i am not fanboying i am just saying i do not think you should say they are trash
2,those trash snd stars would scrape you are team in snd and most pro teams
2,first second an third mistake i been hearing it wus trash though kind of wan give it a listen kind of do not
1,girl i been wanting them shit i been growing them hoes for bout months
2,nips
1,this bitch sees that as not an attack because muslims are only no idea where he maths
2,cool beaners
2,cool beaners i just got home ready to keep my couch from floating away lol
1,bitch be actin like i am a celebrity
1,oh wow the bitch is bitching again niggasuprized
2,i know how you feel wait no i do not perfect week for me would be yanks not getting lee gopats
2,quick game for sox yanks hope you get home soon
2,sorry bout your yanks earl who uya like in the ws
2,that would be your yankees earl we all know they should win all
1,but you were too busy being a raging bitch and not caring that your best friend was going through hell so there is my punch
2,ghetto driving a nice car and not having to pay a lot for rent i drive a lexus and pay little rent just saying
2,the shirt trash and i am leaving your room a mess
1,wuw am not wun uv you are hoes dnt send mi pics
0,teaching that pretend son to b a pussy his son would have lace on his jock strap
0,them jigaboos aka homewreckers needs to get blocked
2,yeah sorry monkey team just keeps kicking people waiting for muh pizza
2,toma eso negros
2,pinche panamonos negros me dan asco
1,what is the difference between the three of the nig nog s
0,who cares to be honest ones a shitty dirty argentino the other is a feather fisted nigger
1,thank you mint happy mothafuggin birthday too hoe
2,i am assuming mickey bubbles
2,sounds like gypos to me they used to do this all the time where i lived
2,you are cheating on mickey bubbles o
1,your rhyming is ghetto
2,gook
2,wasp eggs
1,you sound like a real cunt
2,dayum saterlyt shoz un bayg ho ul
1,sprite hoe
2,clever monkey
1,mostly move ya dumb bitch haha
2,mr and mrs trash
1,she looks like a real dyke now
1,bitch firstly it is resting on my titties and secondly if you was paying attention you would have seen when i said i rolled into it
1,lmao do not fight me you do not know my ghetto ass school dude i highly doubt that since i do not give a fuck about it
1,you cannot get rid of me that easily bitch
2,bu i do i do hate the playa and the yankees if i hate the yankees for their payroll i have to hate the dodgers
1,if i have to watch baseball i actually go for the mets because jon stewart and fuck the yankees
0,we hate the yankees though right i feel like i am really good at hating them
2,we hate them more than the cowboys and yankees
2,hey why do not you get involved in black on black situations because hate whitey b honest now mikebrown
1,why nobody never invite me to no lesbian party bitches
1,i know i am going to broke ass bitch
1,bitch please are you trying to say i was closer to philly than you
1,pussy pussy pussy
1,you are a bitch
1,stop blowing the spurs pussies halftimespeech
1,too many little whiney bitches in america someone to cry about anything ie kids must wear bicycle helmets
1,living with my bitches
1,pussies
1,i will come rape your wife bitch boy
1,bitch no
1,because i did not want to see your bitch ass
1,your one of my bitches you make money for me
2,hey the law made it a felony to keep and collect the records get your facts straight
2,discredited by whom per the government the study is good and factual pay your bills moocher teabaggers and republicans
1,lmfaooo how many returns has this faggot gotten
2,huge yankee fan enjoy
2,birds of a feather go away
1,thanks hoe
1,a pussy in you are mouth is a really good stress reliever doctors recommend
1,i think you need a massage or a pussy in your mouth to make you feel less stressed out do not you think
1,you can be whatever you want since you are not a lying ass bitch ass childish ass mother fucker
0,yeah he sucks just like the other fags who are oh nevermind there are no fags in the nfl
2,you have got no sole
0,i will do it in the uk fag means cigarette and a faggot is a bundle of sticks you homo
1,just admit you started the shit by calling her out and that you are being a bitch and we will all move on
1,bitches
1,google s a bitch your search ann b davis sexy did not match any image results
1,i said i am a vagina but not a fag who has not seen that movie
1,when did we become a nation of giant dripping whiny pussies anyway make this dude president of iraq even he is the man
1,nevermind still a little bitch
1,might need you to pummel a bitch
1,yo follow me back nigguh
2,vertical nip bars i already have horizontal ones so i think it will look hella cute
2,also i put i touch myself on a ned chuck mix
1,pussy
1,you still ugly then a hoe and you still look like muffie off arthur
2,fran is a hillbilly virginia mountain man who has pre s white anglo saxon beliefs kikme
1,fuck off frank you pussy
2,i saw the actual tweet while scanning jihadi accounts they put a screen shot of it with all aid workers r spies
1,shut up faggot no one cares
1,bitches talk shit you got the right to swerve god damnit you are da shittt
1,where is ours at nigguh
1,i call those my ghetto nunchucks the reason i went jail as well
1,lmao he lyin sis his bitch told me if any light bulb in the whole wide world light up today i ca fuck
0,fuck you spear chucker
1,lmao bitch is dumb slap her up
0,me too tyler it just makes me think that they are lil nigger baby hoodrats
1,my fuckin name hoe
1,and then everyone bitches anyways the guy cannot win with the fans we have we would run revis out of here in his prime
1,something else from another bitch in panties about love i swear
2,they would make a great baby bird pic bruh
1,text me fag
1,fight me hoe
1,haha ya hit that hoe right there
1,lol my bad i forgot that hoe made ya sad
1,you will see watch he fixing to hit that hoe and put some
1,bitch i was not following you in the first place get the fuck off my tl
1,bitch have you ever seen me fight why you even talking shit
1,bitch shut yo little ass up fucking no color emo faget ads nigga you call me dumb but you do not know shit
1,bitch what i like pussy go away you doing to much talking too much i talk with my fist and you can get and yo dad little fuc
1,or one of them bitches just be talking shit but not bout shit
1,shit what is up with then hoes i will do both hoe am pretty sure you not on my level
0,wow you hoe is the term for women
0,i do not hate the japs but i are not forgetting gettin japped either
1,you are fucken lame bitch
1,that is thot pussy
0,whatever hoe bitch them fags beat you all sad asses too
0,fags
2,i literally just told to his face how trash he is at the shop in hooping
0,your tits may be better looking but her face makes you like a asian or latina tranny facts
0,you look like a welfare bitch compared to latinas i date and fuck you need fashion and makeup tips to be honest
2,his job as us prez to protect us is throw in trash ebola er at our cost daniel both money lives dog
1,lol this faggot hid from the moon boss we i was helping him
1,but never to moose lol log off faggot your finished
0,mean bro fucking faggot
1,you bitch come on you bitch you scared coward you not man enough to fuck with me you cannot last two minutes in my world bitch
0,die in a car accident then faggot
1,you gunna let that bitch do you like that
1,translation i like how i do not really have to think about it or i do not think queers deserve a happy ending
1,fuckin moulinyan
1,he is the definition of little squirrelly bitch
2,via
1,fuckkn hate when he fights being a big pussy all the time
1,where you at bitch
1,i am an ole bitch in memphis tn and i think you rock also
1,why do you guys cry and whine whenever someone says faggot it is ridiculous
2,do you think the guinea pig was okay
1,a hour you are home and chillin and i am working pussy
1,lmaooo fag
0,faggot
1,bitch pussy
2,puppets like don will intentionally and forever cripple our people s ability to unify a eco and political consensus
2,i am referring to the second down put vick in slot play trash
1,god forbid she actually voted to give people affordable insurance rates that bitch teabag
2,the worst terrorists are republican teabaggers
2,this guys company had best year ever under obama conservative teabaggers are scum
0,you are not sassy white trash change you are username
1,k bitch
1,ok faggot
1,and bullying i did not know you could bully over the internet and the bitch came at me so i do not know why you in my mentions bruh
2,yes true reagan was the first ike would not while president and he was supreme allied commander
2,i do not understand it there is trash cans dumpsters everywhere and if there is not just wait till you go somewhere with one
1,yo girl what is yr potential i want to retard it
1,no bitch lol
2,by the way happy birthday charlie get better soon
2,stay safe out there charlie
1,the only place for a ho in the garden
1,pudding it right in her pussy
1,right in the fucking pussy
2,lax gun laws you are retarded there is murder there bcuz no one can defend themselves only crooks have guns there
1,hey i am still on lambdamoo and it really is empty nobody to talk to except that asshole bird
1,feels like a video a band would pussy out on releasing thank god spiritualized is still around to make up for it all
0,learn how to type ya hillbilly
1,real girls like impress me bitch
1,bailey is gettin pussy
0,humans are evil man cutting tusks of these beautiful animals so chinks think the get a hard on
1,i am on my way to the gym already but thanks bitch
1,so when a certain season comes around it is time to be a hoe
2,chris stop your angry bird spitting n dana go hail you are racial tendicies you did not infor carter n you never talk about him
2,now jimmy want to talk trash would have should have could have now chris stop talking and spitting
1,and you are a hoe
1,bitch where you goin
1,bitch where you going
1,hoe
1,k bitch niggas
1,being a stupid bitch apparently
1,indeed i did nigga is too over used so i use nigger
2,diaval gets a pass by virtue of mostly being a bird
2,last year i had to explain why queer theory is the acceptable academic term
1,bitch yeah it was me caught me red handed sorry
2,merry christmas hun
1,fuck olive that bitch
1,bitch look like she gon blow away fr
2,nd you kno how much i love clams lol
2,you kno i love stuffed clams bai
0,do not stop now half breed i am just starting to learn about what makes you a dumb ass
1,they already have are you retarded
1,crazy bitch why
1,are you sure you are not colored
1,lol i do not got nothin against nobody witta man i am just sayin summa these hoes be lyingggggg
0,nigger
1,ayy might as well get fat hoes do not even like abs nomo they like balla bellys
1,bitch no you not you look like a full breaded cracker
1,yea native and black proud then a bitch
1,and how is that what i am suppose to go for the team who beat us that is retarded
1,really you use in another nigga name and you follow a nigga who does not fucking like you your a faggot kok eyed mother fucker
1,then bitch how about you go read wtf i put then
1,i never played halo too busy slaying bitches
0,probs that fag vhia
1,dgaf hoe
0,do i have to repeat myself you white trash
1,i would not know because i do not fuck with these hoes
1,lol its bitch ass
1,that hoe over there
1,boooooi that is tmi for these hoes
2,only if its yellow cake chocolate frosting
0,he looks like a pretty dyke
2,kept the border open to disease from central america lowest workforce part since carter yep a real boon to nc
0,all you can pull is the fucking retard
1,my bitch does not even know you so wtf r you talking about nigga stop fucking dreaming
0,yo fat ugly ass could not even pull the ugly bitch in the school
1,somebody who is that much of a moron and a pussy does not belong on the force
2,did you make an animal cracker taco
1,is it full of niggers
1,lmaoooo that hoe look like
1,naw he should drop that bitch off in south dallas with the rest of the homeless dogs
1,tell me this nigga are not purple then a bitch nigga not black
1,mammy push you out and had a white baby like a bitch
1,big bro thought he was on house party s pajama jam like a bitch
1,like bitch and a gram
1,lol i would have beat that hoe up
1,yeah man all my niggas dipped to the cars and left and i was in a barn getting chased by the ghetto bird
1,young thug are not earn his strips yet lol just a few k bangers wiz can do dat cuz he not a lil nigguh of the rap game lol
1,i just do not want to get looked at funny when i say nigger in public
1,basically any foams over a ugly all dem bitches look big long an floppy nh
1,the nerve of these hoes
1,baker planted an m in that bitch when white guy lights the wick
1,monkey his cigarette he is dead serious
1,so you was in a female dms talking to another nigga you are a faggot b
1,tell me how that sounds stupid you were pretending to be a female and talking to a guy you a faggot
1,what do you mean nice try i am right nigga you a faggot if you want to argue bout anything else continue
1,your bitch in houston
1,my boy said this last night i will be in the gym because i refuse to be sloppy like these bad built bitches lol
1,oh bitch i just saw your instagram post and i screamed
1,rate my hoe
1,that hoe suck
1,i learned from the great asia torres take notes bitch
1,eew bitch get out of my carrrr
1,see dis what happens when a colored man move into neighborhood he are not been sick fo days
0,it is a nice way of callin you all honkies
1,and i really be thuggin wtf i look like hanging around some lil chipotle jamba juice ass bitches like
2,is he chunky
2,you are hairy like a monkey p
1,home of that one hoe katrina
1,shuddup hoe
1,ion have a fb niggas on twitter are not worried about me them ig nigga foe everybody so try again my bffl got the hoes
1,fuckin bitches talkin shit bout to get hit
1,shoulda came to my family s dinner tonight we talked about shitting and negros
2,i are not never orderin from no colored pizza stow
1,i see da dayd presidents coz my bitches and hoes be makin money day way
1,i am going to miss that big nig
1,lol all the kids that act redneck in oviedo
1,bitch
2,monkey look just like you
1,bad ass bitch
2,i am trash
2,honky tonk badonka ankh
1,lmaoo boy how you think benny heard it lol i was blasting that bitch
1,yea i am about to spin on yo hoe at about after
1,you outta line
1,r you still talking smh bitch idgaf what you is stfu talking to you just going around circles
1,fuck up hoes meaning stfu hoes lol
1,fuck up hoes
0,happy birthday faggot
1,top notch bitches
1,if you are concerned about how much your lady makes then that is some bitch shit to me and you need your ego stroked
2,i see so you feel betrayed your racism comes out shocked you did not call him uncle tom you bitter loser
1,faggot
1,ok hoe
1,yas bitch do not have too much fun
2,trash
2,you are not funny trash
1,by not being an unloyal retard
2,that is hoser eh to you
1,whatchu gon do bout it bitch
1,i swear this is just disgraceful like a bitch line a really be dry all day i will only get emails from pacsun
1,can kiss my ass and yes muhammed was a bitch just like osama binladen
0,i am going to blame the black man since they always blame whitey i am an equal opportunity hater
1,my name is ollie bitch
1,pau pissed me off like boozer pissed off bulls fan soft faggots
1,simmons acted like a bitch when doc left for la
2,the last planet of the apes with my kids it is been a minute
1,it is twitter that is what folks do same folks be mad when someone calls them a nigger on here
2,nice lie just because you want to see it does not make it real like reagan was a conservative another huge lie
0,to get past boot camp and go active a few years see what we really do daily you liberal pussy
2,i also recommend pack of shiner bock and hours of brisket duty at the pit feeding oak coals
1,thank you so much it was a bitch move of her to pull but thank you
1,fuck my tight pussy until i am dripping wet
1,haha you bitch really though it will be good to catch up yo it was pretty fun last time we chilled
1,yo nig your a cheeseball
1,ouuuuufffff you will see pussy
1,karma a bitch bruhh
1,i do not fight bitchez they bitch during it to much
0,eat shit nigga bitch turd bag dick beetle
1,not a bitch that is for sure
1,you are a cunt nd a wish a was a faggot
1,no ion got to do a bitch ass thang if you do not like wtf i am saying unfollow me
1,retard alert
1,playas fuck up too lmao but that is like on trash forreal you a crazy one i see
1,that spear chucker hell no
1,i blocked that annoying ass sand nigger claims to not be biased but yet no one can say anything about khan
1,we should play together soon i have been playing with random faggots but it is fun
1,at least put a caption when stealing the pic fag lol
1,looks ghetto as fuck
1,th my guinea pig will haunt you
2,i am not a trash talker brah i am polite and diplomatic on and off the court
1,he is a pussy an would not show up bro
1,do it you pussy
1,shut up and miss you too fag
2,you cannot see it but i am flipping you the bird
1,hotter than a pussy in a pepper patch who makes this shit up anyways
1,let me cheer you up bitch
1,let us hang out nigger
2,or if we pick you up in sc and take you with us nip to cr
2,weird to see a local yokel journalist get worked up enough to take such a pointed side though thought they were impartial
1,i do not care if it is a saying calling someone a bitch is still calling someone a name
1,ok i will sink to your level you are a special kind of bitch are not you
1,knew he was gettin pussy later he yakked you look stoned as hell
1,fucking bitch
1,lmao fucking bitch i am about to whoop you like a did yesterday but i am trying to update the roster you down
1,it is that puff pass it porn up on the tablet run up to bitch with assless chaps swearing that i am catholic
0,nigga who is bitch you fucking cracker get your gay ass out my mentions
1,bad bitches only
1,all the real gangsters knoww nate are not never loved no hoe
1,monkey dong
1,bitch you subtweeted him
1,fuck yeah and hot big blk boots this scally lad would get it
2,on that th down incompletion both the slants looked like better options shame but there a youth lack of trust going on
1,i am dumb then a hoe haha i already lost that thing ya gave me today
1,haha them hoes only go hard when a nigga stooooned lol
1,them bitches smell like my farts i been holdin in since th grade
1,too bad bitch you in this shit forever
1,uhh no bitch i never overplayed itv
1,yeah some niggas are straight bitches
1,yeah but your the one who wanted followers you got to work it bitch
0,is a fag
1,is a fag
1,dykes are not even human to be honest like what empowered them to dress like a man but like bitches some alien shit
1,if bitches tryna step to us
2,that is why i am partially glad that i have to say hi ho kermit the frog here to slip into my kermit voice well
1,sameeee bitch asss lol
1,you all tryna fuck my bitch after the game or nah
0,all racist ntx trash w all hate to see this particular man in wh n not the butler
1,yeah if you get in trouble its less than a percent chance that its a mistake so you are a fucking retard
2,hey bohner said he got of what he wanted in sequester you sound like a moron when everyone knows you are lying
1,they do why else do teachers constantly bitch about pay
1,you got all the bitches though
1,she said it is ok if you let you are man punch you in you are pussy as long as he makes you cum
1,he scared of pussy
1,nice profile pic fag
1,i am always a call away if ya need me nigs
1,because its retarded lol jk were the same
1,ehh it was tough but yeah lol jk of course niglet
0,so terms like honkey cracker peckerwood and stereotypes of white people fucking their kids and sisters is not racist sweet
1,pussy put yo ass to sleep now i am calling you nyquil
2,no way i am on a dude you are fat diet twinkies are the devil so are breakfast tacos i miss breakfast tacos
1,do not be a pussy just talk to her more and be more of a friend so it does not seem as hard
1,bare ass me again i cunt hear you
1,aye hoe
1,eff dem hos
2,it totally does smells like brownies every day i walk to work
2,bird hats every other hat
2,the bird has a hat so it is hats on hats who can beat that
2,find a new hillbilly spiritweek
2,in fact were i to start a for profit university this would be the sole requirement for graduation
2,ha i am actually going to see a yankee game as weird as it sounds my uncle s house in nj is an hour away
2,we could get matching burner phones and be ghetto fab for a few months
1,jessica i am not afraid to slit your throat tomorrow
1,the fuckin pussy makes fun of people all day on the radio someone calls him a creep and he blocks them
0,bernstine is chi sox jew fag
1,like i said pussies
1,bitch
1,long tittie no nipple havin ass bitch
1,at least that one dude had the guts to me if you do not like my opinion qquit being a bitch and keep scrolling
0,fag
1,i am about to call you of a different number cuz moms still on sum hoe shit
1,joey r you a retard its about the defense and we only allow an average of like point so you really need to
0,that is just me rooting against a team i hate not banwagoning you retard you have a different favorite
1,ill fucking merk a bitch dude do not fuck with me
1,you are welcome you bitch
2,the minute those red n yellow for rent signs go up the reg people start selling n move
0,i love racism blame whitey for everything now that you mention it i bet the white man put the desert tortoise on bundyranch
1,fuck it hoes will be hoes
1,please no more like that snob elissa rich bitches suck
1,you better of called that kid a pussy
1,pussy
1,bitch
2,how are you argie
1,bitch what huh nigga am not going to do damn thing sir this my page oh what you forgot
1,shut yo cracker jack buck teeth ass am a native and a nigga the best kind
2,me or nat def not me with that shiner
2,have heard some hillbilly grumblings that bugs worse in recent years because of mic shutdown
1,xbox live fags
1,you are also a better little bitch
2,blue cheese crackers intrigues and repulses me at the same time
0,oh shut up faggot get a disease overused on twitter
1,that is my nig nog
1,bitch i am starving
1,bitch yesssss i make girls mad
1,you could not handle iowa pussy here kitty kitty kitty
2,stegosaurus hissed like a snake pterodactyl sounded like a crow t rex like a cross between a parrot and an elephant
1,let these hoes be great
1,lmfaoooo i am tryna see how many hoes i can lure in
2,my guy is a maine coon and a total cuddle bum every one that i have ever met has been super friendly
1,fag lol
1,getting his ass pounded loving it i am done with this gay whiney bitch next
1,for real lil bitch
1,i understand why everyone loves pussy
1,can a quote this and tag a bitch
1,only bad bitches in roe r you
0,its retarded
2,also nack which autocorrect changed so i am putting my phone in the trash and going to sleep
1,honestly fuck whoever agreed with this bitch ass nigga your never going to get to tupac level
0,fag
1,i understand but stop venting on this bitch you give to much insight in to your life these people do not deserve that
1,and why would i want my girl to stand up for me if i am the man you are a bitch for letting her do that
1,i swear you straight up bitch
1,and your an annoying ass fuck boy he could of still meet up and fight somwhere else you can shut that bitch shit up fuck boy
1,bitch where you be fuck nigga
1,bitch you look like one of the characters off of sesame street which yo ugly ass
1,nigga what bitch i am talking bout boxing can you read
1,so wtf you tryna do bitch
1,that nigga are not no fucking champ he a straight up bitch who not bout shit bitch made
1,your mama raised you as bitch right
1,your so fucking ignorant you talk a lot shit for someone who do not want to fight your mama raised you as bitch huh
1,your a stupid little cunt i thought you could not get any lower but how dare you spit on people on your own fucking fans
1,have fun getting deported you fucking faggot
1,nice wigger stache
1,oh i forgot you retarded lol let me break it down for you where the bg hoes at lmao
2,god bless you whitey i be sleepin in tomorrow
1,quit being a bitch
1,oh what hoe is she trippin bout then
1,i put lotion on bitch ass nigga
1,we got a win my nicca lmao
1,ok they have niggers in raw
2,lol then they have one more flavor i think it is yellow i do not know but yea there bomb
1,do it pussy
1,he triesto because drama between people he said that you called me a bitch and i know you did not hahahaaha
1,pussy
2,yeah one called me a race traitor lol
1,well i know you like it when children are murdered kind of weird you would be such a little bitch about a twitter list
1,he said ready bitch okay lmfaoooooooo so done
1,tell yo bitch to stop calling me fam
1,then send them bitches through express mail overnight delivery
1,aha your welcome niggah
1,do not even trip my niggah i got you lol
1,just look for the realest niggah on rosecrans that be me lol
1,my niggah my niggah lol
1,niggah you do not know me lol you do not know my life aha
1,i cannot help but notice you attempting to avoid acknowledging your very hairy pussy
1,oh no no no you are perpetually in the your hairy pussy though different story
1,your pussy not mine do you
2,aka he want to keep you warm shoulda just introduced himself coons
2,let the coons be great it is in the dream
0,you got to slow down these coon hrs all they know is love n hip hop lebron fake love quotes
1,pussy shit
2,do not judge me monkey
1,i am not a nig
1,shine bright like a bad bitch
1,hoes gon be hoes so so i could not blame tammy
2,stink should shut his hole just perform his tricks like a good trained monkey
1,of the washington post to call the president ignorant i ask you racist angry bitter bitch look in the mirror
1,bitch please i will go to windsor either way when i come up i can bring some also
1,nah this bitch dykey
1,i know all the bitches love me
1,ha bitch i know
1,if you cannot stand the heat get out of the kitchen gratata swag bitch
1,holy fuck thank you i hate bitches that just fuck their ex then their boyfriend then back to back like damn call you peace pipe
1,trust me after i tweeted that i was like damn i am a fag
1,bitch back up i am taken
1,no but if you dare i will slay your ass you fruity quaffing tranny
1,its funny and it has that blond bitch on it
2,hey now there is no need for foul language you kike
1,hey fuk them hoes they probably already have it
2,then who are you to call me trash
1,yep i am an asshole oh well he should not be such a little bitch i am sure he hears worse on a daily basis
1,suck ass bum ass yankees foh
2,poor coon snow stopped here now if the wind would it might be nice out well for winter
1,haha pussy
1,i know bitch
1,bitch if they was not
1,bitch this shit is soooo funny
1,bitch you looked surprised asf yo mama let you drive her shit
2,like some of the worst lyrics they post are beautiful but just because they do not know what they are talking about it is trash
0,do not forget nappy headed butt ugly bitch who is married to a muslim
2,that is the beauty of them brownies i always daydream about what i would do if i hit the powerball lol nerdy but fun
1,only dumb bitches r in th
1,bring it bitch
0,nah dude mostly just sound like a faggot
1,safe bruv welcum to twitter my niggur
1,wrong skiny girls are for guys that want hot sex that looks good too every fat bitch knows that
2,is not there a law that all clam chowder must be served i am bread bowls haha
1,ruga bussed yo bitch bowbow
1,duh you are my main bitch
2,its pretty easy actually i am just the cashier right now i am eating those animal crackers lolol
1,what time is your bonfire saturday hoe
1,hey that guy has the same first name that i do what a fag
1,fag
1,moderator wants to bitch slap romney so hard
1,got bitches that look like bulldogs instead lol
1,quit ya hating you oyster lookin ass bitch
2,nope got lucky some washing on the slopes going to make it a little rough combining but feeling very fortunate today
2,shy glizzy
0,i know i am so kidding some of bet is funny i love when blacks call eachother ignorant and niggers makes me not have to
1,bitch what time
1,nigga stop being a bitch and come to the high school you already said yes
1,no the fuck it does not it is a fucking song wtf r you talking about yes the fuck i can bitch
1,plz come down here i am really sick of your bitch ass talking shit plz come down here it going to be on
1,no am just letting you what is going to happen am not like you pussy ass niggas from plano
1,bitch i been in plano every fuck weekend and you make excuses stfu and fight
1,bitch how tf am dumb your going off what someone else told you so you can shut that shit up
1,bitch that is next year come on the weekend
1,but yo scary ass do not want to see me though stfu talking am you know where i be at pussy boy
1,you fucking trailer trash
1,naw really bitch i mean yo address
1,bitch keep talking
1,bitch what where you all be at come to town east mall you and your bitch fuck boys
1,then bring yo bitch ass to town east mall let me know when you there bitch
1,then bring your bitch ass to town east bitch
1,you call me dumb but you speak on shit you do not know nothing about yea look who is fucking talking retard
1,where you all be at oh we going fight come to town east bitch
1,yea it is very true bitch
0,so why the fuck are still talking shit you acting like a pussy ass nigga
1,how you going to talk shit from another state that is dat pussy shit
1,i heard your mama raised you like bitch
1,i said your name bitch so yes you fuck boy
1,lmfao and i am making more money then yo duck ass bitch i from dallas tx born and raised and we back our shit up all day nigga
1,no am real but you a pussy ass nigga so why would i give a fuck what you think lmao just stfu
1,no that is what you think i just do not like pussy boys who run they mouth but they cannot back they words up
1,no the fuck it is not bitch what is the real fucking address get that bitch out yo blood and tell me the address
1,am done are acting like a little bitch my year old nephew realer then your scary ass sunset is not a time you dumb fuck
1,am going to hurt more then your bitch ass feelings
1,and stop being a bitch made nigga and man up and show up for that ass whooping
1,and who said i did not like myself where the fuck you got shit from you made that up stfu and stop assuming and bitch am not ugly
1,and why would i care what a bitch ass nigga think and you do not understand how fucking scary you look
1,and you got that pussy in your bllod
1,bitch i do not want to talk i want to fight your pussy ass
